repo_name,language,clone_url,github_id,created_at,topics,stars
nomcopter/react-mosaic,typescript,https://github.com/nomcopter/react-mosaic.git,4038305,2017-03-23,"[""react"", ""tiling-window-manager"", ""typescript"", ""window-manager""]",4745
appbaseio/mirage,typescript,https://github.com/appbaseio/mirage.git,4038307,2016-02-25,[],2174
funkia/list,typescript,https://github.com/funkia/list.git,4038313,2016-09-14,"[""data-structures"", ""fantasy-land"", ""functional-programming"", ""immutable"", ""immutable-lists"", ""ramda"", ""redux""]",1643
myxvisual/react-uwp,typescript,https://github.com/myxvisual/react-uwp.git,4038323,2017-01-09,"[""fluent"", ""fluent-design"", ""javascript"", ""microsoft-fluent"", ""microsoft-uwp"", ""react"", ""react-components"", ""typescript"", ""uwp"", ""uwp-design"", ""windows-uwp""]",1171
novage/p2p-media-loader,typescript,https://github.com/novage/p2p-media-loader.git,4038331,2018-08-07,"[""bittorrent"", ""dash"", ""hls"", ""hlsjs"", ""media-playback"", ""mediastream"", ""p2p"", ""p2p-media-loader"", ""p2p-network"", ""peer"", ""player"", ""shaka-player"", ""video"", ""webrtc"", ""webtorrent""]",1691
amplify-education/serverless-domain-manager,typescript,https://github.com/amplify-education/serverless-domain-manager.git,4038332,2017-05-23,"[""amazon-certificate-manager"", ""api-gateway"", ""certificate"", ""cloudformation"", ""lambda"", ""route53"", ""serverless""]",949
prisma-labs/graphql-prisma-typescript,typescript,https://github.com/prisma-labs/graphql-prisma-typescript.git,4038334,2017-11-19,[],743
woutervh-/typescript-is,typescript,https://github.com/woutervh-/typescript-is.git,4038340,2018-09-14,"[""runtime"", ""transformer"", ""type-check"", ""typescript""]",939
julianoappelklein/hokus,typescript,https://github.com/julianoappelklein/hokus.git,4038356,2018-02-15,[],545
filipows/angular-animations,typescript,https://github.com/filipows/angular-animations.git,4038362,2018-03-18,"[""angular"", ""angular-animations"", ""animation"", ""hacktoberfest""]",565
mydraft-cc/ui,typescript,https://github.com/mydraft-cc/ui.git,4038393,2018-02-18,"[""canvas"", ""paperjs"", ""react"", ""redux"", ""scss"", ""typescript"", ""webpack"", ""wireframing""]",827
ledokku/ledokku,typescript,https://github.com/ledokku/ledokku.git,4038934,2020-04-11,"[""buildpack"", ""deploy"", ""dokku"", ""dokku-users"", ""herokuish"", ""mongodb"", ""prisma"", ""redis""]",549
meetalva/alva,typescript,https://github.com/meetalva/alva.git,4039153,2017-11-15,[],3737
qihoo360/wayne,typescript,https://github.com/qihoo360/wayne.git,4039155,2018-11-13,[],3630
streamich/libreact,typescript,https://github.com/streamich/libreact.git,4039159,2018-06-09,[],2595
staltz/xstream,typescript,https://github.com/staltz/xstream.git,4039161,2016-04-22,"[""cyclejs"", ""javascript"", ""reactive-programming"", ""stream"", ""typescript""]",2347
bdash-app/bdash,typescript,https://github.com/bdash-app/bdash.git,4039175,2016-08-23,"[""electron"", ""javascript"", ""sql"", ""visualization""]",1517
ijzerenhein/react-native-shared-element,typescript,https://github.com/ijzerenhein/react-native-shared-element.git,4039178,2019-05-29,"[""clone"", ""clone-view"", ""image-clone"", ""magic-move"", ""react-native"", ""shared-element"", ""shared-element-transition"", ""visual-standin""]",2233
liximomo/vscode-sftp,typescript,https://github.com/liximomo/vscode-sftp.git,4039180,2017-05-09,[],1400
stuffmatic/fspy,typescript,https://github.com/stuffmatic/fspy.git,4039185,2018-06-15,[],1720
prisma-labs/graphqlgen,typescript,https://github.com/prisma-labs/graphqlgen.git,4039191,2018-08-07,[],825
skovhus/jest-codemods,typescript,https://github.com/skovhus/jest-codemods.git,4039200,2016-09-17,"[""ava"", ""chai"", ""codemod"", ""codemods"", ""jest"", ""jest-codemods"", ""jscodeshift"", ""mocha"", ""tape"", ""testing""]",888
algusdark/bloomer,typescript,https://github.com/algusdark/bloomer.git,4039202,2017-05-05,[],677
funfix/funfix,typescript,https://github.com/funfix/funfix.git,4039208,2017-06-05,[],633
surmon-china/surmon.me.native,typescript,https://github.com/surmon-china/surmon.me.native.git,4039212,2017-03-29,"[""android"", ""blog"", ""blog-app"", ""blogapp"", ""mobx"", ""mobx-react"", ""react"", ""react-app"", ""react-component"", ""react-markdown"", ""react-native"", ""react-navigation"", ""react-redux"", ""react-typescript"", ""react-typescript-mo"", ""reactjs"", ""reactrouter"", ""surmon"", ""surmon-china"", ""typescript""]",623
machinelearnjs/machinelearnjs,typescript,https://github.com/machinelearnjs/machinelearnjs.git,4039227,2018-04-29,"[""data-preprocessing"", ""easy-to-use"", ""feature-extraction"", ""machine-learning"", ""minimalistic"", ""node"", ""probabilistic-models"", ""random-forest"", ""statistical-learning"", ""structured-data"", ""svm"", ""web""]",542
letterpad/letterpad,typescript,https://github.com/letterpad/letterpad.git,4039228,2017-02-13,"[""blogging-system"", ""cms"", ""graphql"", ""journalism"", ""nextjs"", ""react"", ""reactjs"", ""single-page-app"", ""tailwindcss""]",752
yeppha/maia-yt,typescript,https://github.com/yeppha/maia-yt.git,4039230,2017-05-04,[],503
