repo_name,language,fixture_count,commit_count_with_fixtures,first_fixture_commit,last_fixture_commit,clone_url,agent_commits_touching_tests,rejected_mixed_test_diff,accepted,created_at,topics
microsoft/azure-pipelines-tasks,typescript,12,3,20d4556c2573ef64afc7869c9ce801c677bf23d2,6cd05fd34493cbd30d6ff15b0038782c35f23506,https://github.com/microsoft/azure-pipelines-tasks.git,35,2,5,2014-12-06T11:11:46,[]
microsoft/vscode-pull-request-github,typescript,4,3,3071d50110b383a403c165c99c78718ad0358386,eacf5393ca03c7f541c0b8db59a7af9585a34587,https://github.com/microsoft/vscode-pull-request-github.git,40,16,24,2018-05-24T11:05:02,"[""code-review"", ""github"", ""pull-requests"", ""vscode""]"
microsoft/rushstack,typescript,13,4,48853d6b335916de3778c5ac5a3c8261e29f0f2d,ac0947092e1d7073c50be3037806dd00e2dc339a,https://github.com/microsoft/rushstack.git,37,21,16,2016-09-30T12:28:20,"[""api"", ""api-extractor"", ""build"", ""bulk-suppressions"", ""eslint"", ""hacktoberfest"", ""heft"", ""lockfile-explorer"", ""monorepo"", ""nodejs"", ""orchestrator"", ""rush"", ""rushstack"", ""toolchain"", ""tsdoc"", ""typescript""]"
mil-tokyo/webdnn,typescript,0,0,,,https://github.com/mil-tokyo/webdnn.git,10,0,10,2017-04-06T08:11:46,"[""accelerate"", ""deep-neural-networks"", ""javascript"", ""optimization"", ""webgpu""]"
midwayjs/midway,typescript,0,0,,,https://github.com/midwayjs/midway.git,0,0,0,2018-07-12T06:16:16,"[""aliyun"", ""aws"", ""azure"", ""cloud"", ""dependency-injection-container"", ""enterprise"", ""framework"", ""ioc"", ""midway"", ""mircoservices"", ""react"", ""serverless"", ""serverless-framework"", ""typescript"", ""vue"", ""web""]"
mxstbr/mxstbr.com,typescript,0,0,,,https://github.com/mxstbr/mxstbr.com.git,0,0,0,2018-10-15T10:12:46,"[""nextjs"", ""prettier"", ""react""]"
naver/billboard.js,typescript,0,0,,,https://github.com/naver/billboard.js.git,0,0,0,2017-06-08T02:54:44,"[""canvas"", ""charting-library"", ""d3"", ""data-visualizations"", ""graph"", ""svg""]"
naomiaro/waveform-playlist,typescript,20,10,34b894d0b3393c18c9fff7dcb313ab0b3d984852,1fc1b2fe721808eb2bdb536e19b832fd992e7d5f,https://github.com/naomiaro/waveform-playlist.git,51,27,24,2013-02-12T12:37:03,"[""annotations"", ""audio"", ""audio-player"", ""audio-visualizer"", ""audiorecorder"", ""audioworklet"", ""daw"", ""harmony"", ""music"", ""playback"", ""playlist"", ""tonejs"", ""waveform"", ""webaudio""]"
moodlehq/moodleapp,typescript,0,0,,,https://github.com/moodlehq/moodleapp.git,0,0,0,2015-03-03T09:18:17,"[""ionic"", ""moodleapp""]"
matteobruni/tsparticles,typescript,0,0,,,https://github.com/matteobruni/tsparticles.git,0,0,0,2020-02-05T06:00:01,"[""2d"", ""angular"", ""animations"", ""bg"", ""canvas"", ""confetti"", ""fireworks"", ""hacktoberfest"", ""html"", ""javascript"", ""js"", ""npm"", ""particles"", ""react"", ""svelte"", ""ts"", ""tsparticles"", ""typescript"", ""vue"", ""web""]"
neet/masto.js,typescript,0,0,,,https://github.com/neet/masto.js.git,1,0,1,2018-04-13T07:27:40,"[""fediverse"", ""mastodon"", ""mastodon-api""]"
