repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,agent_type,commit_kind
aklivity/zilla,java,406dcec9829ee7cf103f9b605f2a793dfc5e756c,specs/binding-mcp.spec/src/test/java/io/aklivity/zilla/specs/binding/mcp/config/SchemaTest.java,<anonymous>_29,junit_rule,30,33,4,junit,0,claude,agent
aklivity/zilla,java,406dcec9829ee7cf103f9b605f2a793dfc5e756c,specs/binding-mcp.spec/src/test/java/io/aklivity/zilla/specs/binding/mcp/streams/application/ApplicationIT.java,<anonymous>_35,junit_rule,36,37,2,junit,0,claude,agent
aklivity/zilla,java,406dcec9829ee7cf103f9b605f2a793dfc5e756c,specs/binding-mcp.spec/src/test/java/io/aklivity/zilla/specs/binding/mcp/streams/network/NetworkIT.java,<anonymous>_35,junit_rule,36,37,2,junit,0,claude,agent
aklivity/zilla,java,9e2faf5eb297e52df9885e1d4145d1bfd4d32324,runtime/binding-mcp/src/test/java/io/aklivity/zilla/runtime/binding/mcp/internal/stream/McpClientIT.java,<anonymous>_53,junit_rule,54,55,2,junit,0,claude,agent
aklivity/zilla,java,b6a9f58845b00cc4df46186e4fe43bde9b7b7920,runtime/guard-identity/src/test/java/io/aklivity/zilla/runtime/guard/identity/internal/IdentityIT.java,<anonymous>_49,junit_rule,50,51,2,junit,0,claude,agent
aklivity/zilla,java,b6a9f58845b00cc4df46186e4fe43bde9b7b7920,specs/guard-identity.spec/src/test/java/io/aklivity/zilla/specs/guard/identity/SchemaTest.java,<anonymous>_29,junit_rule,30,34,5,junit,0,claude,agent
aklivity/zilla,java,f92c102f15d028d46ed7460b3e6e91d992b868b5,runtime/binding-mcp/src/test/java/io/aklivity/zilla/runtime/binding/mcp/internal/config/McpConditionConfigAdapterTest.java,initJson,junit4_before,39,45,7,junit,0,claude,agent
aklivity/zilla,java,b4714dcc8f2170ba3ce5bc19d3417916da8ce938,runtime/binding-mcp-http/src/test/java/io/aklivity/zilla/runtime/binding/mcp/http/internal/stream/McpHttpProxyIT.java,<anonymous>_49,junit_rule,50,51,2,junit,0,claude,agent
aklivity/zilla,java,b4714dcc8f2170ba3ce5bc19d3417916da8ce938,specs/binding-mcp-http.spec/src/test/java/io/aklivity/zilla/specs/binding/mcp/http/config/SchemaTest.java,<anonymous>_30,junit_rule,31,35,5,junit,0,claude,agent
aklivity/zilla,java,b4714dcc8f2170ba3ce5bc19d3417916da8ce938,specs/binding-mcp-http.spec/src/test/java/io/aklivity/zilla/specs/binding/mcp/http/streams/HttpClientIT.java,<anonymous>_35,junit_rule,36,37,2,junit,0,claude,agent
aklivity/zilla,java,b4714dcc8f2170ba3ce5bc19d3417916da8ce938,specs/binding-mcp-http.spec/src/test/java/io/aklivity/zilla/specs/binding/mcp/http/streams/McpServerIT.java,<anonymous>_35,junit_rule,36,37,2,junit,0,claude,agent
akto-api-security/akto,java,5ed455da316e09b0122ae5ecd5f79cfe440e91dd,apps/threat-detection/src/test/java/com/akto/threat/detection/cache/SequenceCacheTest.java,setUp,junit4_before,32,35,4,junit,1,cursor,agent
akto-api-security/akto,java,e569b27a5aab91a8dbd629b500319e19fff6349f,apps/agent-guard/python-service/worker-py/tests/test_gcp_auth.py,patch_httpx_and_cache,pytest_decorator,60,65,5,pytest,0,cursor,agent
akto-api-security/akto,java,e569b27a5aab91a8dbd629b500319e19fff6349f,apps/agent-guard/python-service/worker-py/tests/test_model_map.py,patch_providers,pytest_decorator,43,52,9,pytest,0,cursor,agent
akto-api-security/akto,java,55c1448df31dbf3cf08d2f32f61ea97a582718e6,apps/dashboard/src/test/java/com/akto/action/testing/TestRunStatusActionTest.java,cleanup,junit4_before,29,33,5,junit,0,cursor,agent
alibaba/nacos,java,9c60d18f4723e3627c89186cd4aef3a8a3fcd6e6,ai/src/test/java/com/alibaba/nacos/ai/controller/PipelineAdminControllerTest.java,setUp,junit5_before_each,60,64,5,junit,0,claude,agent
alibaba/nacos,java,9c60d18f4723e3627c89186cd4aef3a8a3fcd6e6,ai/src/test/java/com/alibaba/nacos/ai/controller/PipelineAdminControllerTest.java,tearDown,junit5_after_each,66,68,3,junit,0,claude,agent
alibaba/nacos,java,9c60d18f4723e3627c89186cd4aef3a8a3fcd6e6,console/src/test/java/com/alibaba/nacos/console/controller/v3/ai/ConsolePipelineControllerTest.java,setUp,junit5_before_each,60,64,5,junit,0,claude,agent
alibaba/nacos,java,9c60d18f4723e3627c89186cd4aef3a8a3fcd6e6,console/src/test/java/com/alibaba/nacos/console/controller/v3/ai/ConsolePipelineControllerTest.java,tearDown,junit5_after_each,66,68,3,junit,0,claude,agent
alibaba/nacos,java,9c60d18f4723e3627c89186cd4aef3a8a3fcd6e6,maintainer-client/src/test/java/com/alibaba/nacos/maintainer/client/ai/PipelineMaintainerServiceImplTest.java,setUp,junit5_before_each,56,70,15,junit,0,claude,agent
alibaba/nacos,java,b21d8a215b762444e7383ac9070fae4fe8a08312,client-basic/src/test/java/com/alibaba/nacos/client/auth/oidc/OidcClientAuthServiceImplTest.java,afterEach,junit5_after_each,134,140,7,junit,0,claude,agent
alibaba/nacos,java,b21d8a215b762444e7383ac9070fae4fe8a08312,client-basic/src/test/java/com/alibaba/nacos/client/auth/oidc/OidcClientContextTest.java,afterEach,junit5_after_each,172,178,7,junit,0,claude,agent
alibaba/nacos,java,b21d8a215b762444e7383ac9070fae4fe8a08312,client-basic/src/test/java/com/alibaba/nacos/client/auth/oidc/OidcTokenHolderTest.java,tearDown,junit5_after_each,55,61,7,junit,0,claude,agent
alibaba/nacos,java,b21d8a215b762444e7383ac9070fae4fe8a08312,client-basic/src/test/java/com/alibaba/nacos/client/auth/ram/injector/AiResourceInjectorTest.java,setUp,junit5_before_each,53,68,16,junit,0,claude,agent
alibaba/nacos,java,b21d8a215b762444e7383ac9070fae4fe8a08312,client-basic/src/test/java/com/alibaba/nacos/client/auth/ram/injector/AiResourceInjectorTest.java,tearDown,junit5_after_each,70,75,6,junit,0,claude,agent
alibaba/nacos,java,b21d8a215b762444e7383ac9070fae4fe8a08312,client-basic/src/test/java/com/alibaba/nacos/client/auth/ram/injector/LockResourceInjectorTest.java,setUp,junit5_before_each,52,64,13,junit,0,claude,agent
alibaba/nacos,java,b21d8a215b762444e7383ac9070fae4fe8a08312,client-basic/src/test/java/com/alibaba/nacos/client/auth/ram/injector/LockResourceInjectorTest.java,tearDown,junit5_after_each,66,71,6,junit,0,claude,agent
alibaba/nacos,java,1028381bf90beb1f978eafbabc469877b1039037,ai/src/test/java/com/alibaba/nacos/ai/controller/AiResourceImportAdminControllerTest.java,setUp,junit5_before_each,58,62,5,junit,0,claude,agent
alibaba/nacos,java,1028381bf90beb1f978eafbabc469877b1039037,console/src/test/java/com/alibaba/nacos/console/controller/v3/ai/ConsoleAiResourceImportControllerTest.java,setUp,junit5_before_each,57,61,5,junit,0,claude,agent
alibaba/nacos,java,1028381bf90beb1f978eafbabc469877b1039037,console/src/test/java/com/alibaba/nacos/console/handler/impl/inner/ai/AiResourceImportInnerHandlerTest.java,setUp,junit5_before_each,49,52,4,junit,0,claude,agent
alibaba/nacos,java,1028381bf90beb1f978eafbabc469877b1039037,console/src/test/java/com/alibaba/nacos/console/proxy/ai/AiResourceImportProxyTest.java,setUp,junit5_before_each,49,52,4,junit,0,claude,agent
alibaba/nacos,java,cbf7ad32bdc15027b87570c467f6ff3fe71bb127,plugin-default-impl/nacos-default-ai-importer-plugin/src/test/java/com/alibaba/nacos/plugin/ai/importer/defaultimpl/skill/SkillsShImportServiceTest.java,setUp,junit5_before_each,70,76,7,junit,0,claude,agent
alibaba/nacos,java,e3e28cd8e71f47b927c1a71aa4754d93853cbf3f,test/java-sdk-test/src/test/java/com/alibaba/nacos/test/sdk/JavaSdkBaseITCase.java,tearDownJavaSdkBase,junit5_after_each,60,67,8,junit,0,claude,agent
alibaba/nacos,java,fc272034218e61f799aded53925bcfa90b3fc4d4,test/maintainer-sdk-test/src/test/java/com/alibaba/nacos/test/maintainer/MaintainerSdkBaseITCase.java,tearDownMaintainerSdkBase,junit5_after_each,46,53,8,junit,0,claude,agent
alibaba/nacos,java,fd5114fdaebf5df791ffc526057c3b745d18d97f,naming/src/test/java/com/alibaba/nacos/naming/healthcheck/v2/processor/TcpHealthCheckProcessorTest.java,setUp,junit5_before_each,78,90,13,junit,0,claude,agent
alibaba/nacos,java,fd5114fdaebf5df791ffc526057c3b745d18d97f,naming/src/test/java/com/alibaba/nacos/naming/healthcheck/v2/processor/TcpHealthCheckProcessorTest.java,tearDown,junit5_after_each,92,97,6,junit,0,claude,agent
alibaba/nacos,java,99acf6ba9f80c230b8844ad193b2c8d2daa4b04d,api/src/test/java/com/alibaba/nacos/api/utils/json/JsonAdapterSelectorTest.java,tearDown,junit5_after_each,34,37,4,junit,0,claude,agent
alibaba/nacos,java,99acf6ba9f80c230b8844ad193b2c8d2daa4b04d,api/src/test/java/com/alibaba/nacos/api/utils/json/JsonUtilsTest.java,tearDown,junit5_after_each,34,37,4,junit,0,claude,agent
alibaba/nacos,java,2a95081f5998d934289a652a5fc1252c7cfce0a7,common/src/test/java/com/alibaba/nacos/common/json/Jackson3JsonAdapterTest.java,tearDown,junit5_after_each,53,56,4,junit,0,claude,agent
alibaba/spring-ai-alibaba,java,d87585546b0fc16c60c998090475a1c3cab8b588,spring-ai-alibaba-agent-framework/src/test/java/com/alibaba/cloud/ai/graph/agent/hooks/InterruptionHookTest.java,setUp,junit5_before_each,77,91,13,junit,0,claude,agent
apache/camel,java,4c099102e6d62f40bd0a0ae4a72647018a58f529,components/camel-as2/camel-as2-api/src/test/java/org/apache/camel/component/as2/api/AS2AsyncMDNServerConnectionTest.java,setUp,junit5_before_each,39,43,5,junit,0,claude,agent
apache/camel,java,4c099102e6d62f40bd0a0ae4a72647018a58f529,components/camel-as2/camel-as2-api/src/test/java/org/apache/camel/component/as2/api/AS2AsyncMDNServerConnectionTest.java,tearDown,junit5_after_each,45,50,6,junit,0,claude,agent
apache/camel,java,4c099102e6d62f40bd0a0ae4a72647018a58f529,components/camel-as2/camel-as2-api/src/test/java/org/apache/camel/component/as2/api/entity/GenericApplicationEntityTest.java,setUp,junit5_before_all,44,47,4,junit,0,claude,agent
apache/camel,java,acc9d9ba2e06801efbd05c5d10077a204dba14c4,components/camel-http-base/src/test/java/org/apache/camel/http/base/HttpSendDynamicAwareTest.java,setUp,junit5_before_each,39,43,5,junit,0,claude,agent
