repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,matched_config_file,processed_at,created_at,topics,discovery_tier
amannn/next-intl,1,typescript,4311,https://github.com/amannn/next-intl.git,87,,CLAUDE.md,2026-07-25T03:11:22.480529+00:00,2020-11-20T11:24:11,"[""date-formatting"", ""i18n"", ""next"", ""react""]",1
ngneat/transloco,1,typescript,1883,https://github.com/ngneat/transloco.git,79,,.cursor/,2026-07-25T03:11:26.190834+00:00,2019-08-09T11:52:35,"[""angular"", ""i18n"", ""internationalization"", ""languages"", ""translation""]",1
typedproject/tsed,1,typescript,1647,https://github.com/typedproject/tsed.git,77,,.claude/,2026-07-25T03:11:29.542265+00:00,2016-02-21T06:38:47,[],1
xbrowsersync/app,1,typescript,1691,https://github.com/xbrowsersync/app.git,4,,CLAUDE.md,2026-07-25T03:11:37.925249+00:00,2016-05-05T08:59:25,[],1
auth0/auth0-spa-js,1,typescript,998,https://github.com/auth0/auth0-spa-js.git,87,,CLAUDE.md,2026-07-25T03:11:38.590745+00:00,2019-04-03T04:22:45,"[""auth0"", ""auth0-js"", ""dx-sdk"", ""javascript"", ""oauth2"", ""openid-connect"", ""pkce"", ""spa""]",1
microsoft/roosterjs,1,typescript,1311,https://github.com/microsoft/roosterjs.git,71,,CLAUDE.md,2026-07-25T03:11:41.728520+00:00,2017-07-13T04:39:51,[],1
airtasker/spot,1,typescript,568,https://github.com/airtasker/spot.git,29,,CLAUDE.md,2026-07-25T03:11:44.077070+00:00,2018-10-11T09:55:46,"[""api-blueprint"", ""dsl"", ""json-schema"", ""openapi"", ""openapi3"", ""swagger"", ""typescript""]",1
maygo/tockler,1,typescript,1063,https://github.com/maygo/tockler.git,7,,.cursor/,2026-07-25T03:11:48.142566+00:00,2016-02-28T08:32:04,"[""electron"", ""electron-app"", ""osx"", ""productivity"", ""timeline"", ""timetracker"", ""windows""]",1
ant-design/ant-design-pro,1,typescript,38507,https://github.com/ant-design/ant-design-pro.git,331,,CLAUDE.md,2026-07-25T03:11:49.468880+00:00,2017-08-25T10:40:44,"[""admin"", ""ant-design"", ""antd"", ""antv"", ""boilerplate"", ""dashboard"", ""enterprise"", ""react"", ""umi""]",1
vscode-icons/vscode-icons,1,typescript,5090,https://github.com/vscode-icons/vscode-icons.git,357,,CLAUDE.md,2026-07-25T03:12:12.043974+00:00,2016-05-30T11:24:37,"[""icon-theme"", ""icons-provider"", ""vscode"", ""vscode-extension"", ""vscode-icons""]",1
pmndrs/react-spring,1,typescript,29118,https://github.com/pmndrs/react-spring.git,185,,CLAUDE.md,2026-07-25T03:12:14.694756+00:00,2018-03-07T03:39:32,"[""animation-library"", ""react"", ""react-spring"", ""spring-physics"", ""springs""]",1
talentlessguy/tinyhttp,1,typescript,1625,https://github.com/talentlessguy/tinyhttp.git,34,,CLAUDE.md,2026-07-25T03:12:18.813962+00:00,2020-06-13T01:19:08,[],1
glimmerjs/glimmer-vm,1,typescript,1149,https://github.com/glimmerjs/glimmer-vm.git,122,,CLAUDE.md,2026-07-25T03:12:18.828325+00:00,2015-09-14T05:59:26,"[""emberjs"", ""glimmerjs"", ""hacktoberfest"", ""typescript""]",1
aeagle/react-spaces,1,typescript,1314,https://github.com/aeagle/react-spaces.git,5,,.claude/,2026-07-25T03:12:22.431747+00:00,2019-07-21T03:58:06,"[""component-library"", ""components"", ""javascript-library"", ""react"", ""reactjs"", ""reactjs-components"", ""web"", ""web-ui"", ""web-ui-framework""]",1
probablyup/markdown-to-jsx,1,typescript,1698,https://github.com/probablyup/markdown-to-jsx.git,44,,.cursor/,2026-07-25T03:12:23.436992+00:00,2015-12-06T06:42:02,"[""gfm"", ""jsx"", ""markdown"", ""react"", ""remark""]",1
pkief/vscode-material-icon-theme,1,typescript,1923,https://github.com/pkief/vscode-material-icon-theme.git,306,,copilot-instructions.md,2026-07-25T03:12:33.999845+00:00,2016-09-09T08:41:42,"[""material-icon-theme"", ""material-icons"", ""vscode"", ""vscode-extension"", ""vscode-icons"", ""vscode-theme""]",1
antvis/l7,1,typescript,4031,https://github.com/antvis/l7.git,61,,.claude/,2026-07-25T03:12:36.338982+00:00,2018-11-21T04:19:07,"[""3d"", ""amap"", ""antv"", ""data-visualization"", ""geojson"", ""geospatial"", ""gis"", ""javascript"", ""map"", ""mapbox"", ""maps"", ""point"", ""polygon"", ""webgl""]",1
golevelup/nestjs,1,typescript,2729,https://github.com/golevelup/nestjs.git,121,,copilot-instructions.md,2026-07-25T03:12:43.532069+00:00,2019-01-26T06:26:08,"[""event-management"", ""express"", ""graphql"", ""hacktoberfest"", ""hasura"", ""javascript"", ""microservices"", ""nestjs"", ""nodejs"", ""plugins"", ""rabbitmq"", ""typescript"", ""webhooks""]",1
fullcalendar/fullcalendar-scheduler,1,typescript,682,https://github.com/fullcalendar/fullcalendar-scheduler.git,5,,CLAUDE.md,2026-07-25T03:12:43.566071+00:00,2015-08-17T01:26:03,[],1
lume/lume,1,typescript,1499,https://github.com/lume/lume.git,7,,copilot-instructions.md,2026-07-25T03:12:43.573114+00:00,2014-12-30T06:40:12,"[""3d"", ""3d-engine"", ""3d-graphics"", ""3d-models"", ""css3d"", ""custom-elements"", ""dom-elements"", ""graphics"", ""graphics-engine"", ""graphics-programming"", ""html"", ""javascript"", ""lume"", ""scene"", ""three-d"", ""three-dimensions"", ""threejs"", ""ui"", ""web-components"", ""webgl""]",1
brianlovin/brian-lovin-next,1,typescript,642,https://github.com/brianlovin/brian-lovin-next.git,16,,CLAUDE.md,2026-07-25T03:12:43.589351+00:00,2018-09-08T10:01:16,[],1
ultimatehackingkeyboard/agent,1,typescript,769,https://github.com/ultimatehackingkeyboard/agent.git,35,,.cursor/,2026-07-25T03:12:43.598926+00:00,2016-01-12T12:41:16,[],1
bennycode/trading-signals,1,typescript,964,https://github.com/bennycode/trading-signals.git,12,,CLAUDE.md,2026-07-25T03:12:51.583350+00:00,2020-05-28T10:44:05,"[""analysis"", ""cryptotrading"", ""dema"", ""dma"", ""ema"", ""financial"", ""financial-analysis"", ""hacktoberfest"", ""indicator"", ""macd"", ""roc"", ""rsi"", ""signals"", ""sma"", ""smma"", ""technical-analysis"", ""technical-indicators"", ""trading"", ""trading-signals"", ""typescript""]",1
homebridge/homebridge,1,typescript,25374,https://github.com/homebridge/homebridge.git,110,,copilot-instructions.md,2026-07-25T03:12:56.316370+00:00,2014-12-01T04:37:39,"[""hap"", ""homebridge"", ""homekit"", ""homekit-accessory-protocol"", ""homekit-api"", ""homekit-bridge"", ""siri""]",1
abagames/crisp-game-lib,1,typescript,641,https://github.com/abagames/crisp-game-lib.git,5,,CLAUDE.md,2026-07-25T03:13:05.043206+00:00,2019-12-08T06:51:14,"[""game-development""]",1
getstream/stream-chat-react-native,1,typescript,1169,https://github.com/getstream/stream-chat-react-native.git,76,,CLAUDE.md,2026-07-25T03:13:09.667898+00:00,2019-03-28T08:50:26,"[""chat"", ""chat-api"", ""chat-app"", ""chat-application"", ""chat-sdk"", ""messaging-app"", ""react-native"", ""react-native-app"", ""react-native-chat"", ""react-native-component""]",1
