commit_sha,repo_removed,repo_kept,language,cluster_size,stars_removed,stars_kept
13eab3ec2078ace90fa13379e9ac240b3b03ac09,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
31163e343d2a73f1c57661ae36d21556e4582416,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
ccd62d56d9c9aa6eaac75491f15b94f9b98eee8d,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
0c209073ebfefd23b2c316e7946e383fbe811165,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
8257b78bb0d8aeaaf3ffd03a8478d9828c96a64f,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
0f8f3e11dd873aee908e36646447fa7affab4838,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
0d5fd2bdff5a66c7517e7887f24d67bda9a785ec,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
94db9d2ef083faa6ee53905da7dd9a0371ee9994,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
31c605921d5eb4029dcaed80db7370a8e9c32d80,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
5660dc806e09e8ea7101496e3c4b14d215823e98,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
